t,reward,dopamine,serotonin,rolling_acc,W_mean,choice,truth,pA,pB,score_A,score_B
47,1.0,0.6833522423688199,0.24011388439140094,0.7291666666666666,0.29788819522908305,B,B,0.12759692489989963,0.8724030751001004,0.6888123559472182,2.611187644052782
48,-0.5,0.6241846302503788,0.23271274554748692,0.7142857142857143,0.2978370631123934,A,B,0.25170297502093586,0.7482970249790641,1.1052248652044536,2.194775134795546
49,1.0,0.6429753987378599,0.24038561809201206,0.72,0.2977810341574512,B,B,0.1170448653366434,0.8829551346633565,0.6396414682587573,2.6603585317412426
50,1.0,0.660826628800967,0.24798176191109195,0.7254901960784313,0.29771356163202534,B,B,0.11727010908970831,0.8827298909102916,0.6407303221090568,2.6592696778909435
51,1.0,0.6777852973609186,0.25550194429198103,0.7307692307692307,0.2976466103931272,B,B,0.11749266704691701,0.8825073329530829,0.6418044127285972,2.658195587271403
52,1.0,0.6938960324928727,0.26294692484906124,0.7358490566037735,0.29757922917660995,B,B,0.35008355047222595,0.6499164495277742,1.3406640130952867,1.9593359869047133
53,1.0,0.7092012308682291,0.27031745560057063,0.7407407407407407,0.29751403974007995,B,B,0.23255198386916182,0.7674480161308381,1.0530215204139193,2.2469784795860805
54,1.0,0.7237411693248176,0.2776142810445649,0.7454545454545455,0.2974470425712157,B,B,0.11814434158857456,0.8818556584114253,0.6449393603533694,2.6550606396466305
55,1.0,0.7375541108585767,0.2848381382341193,0.75,0.29737367247998114,B,B,0.11835627724058348,0.8816437227594166,0.6459556711180855,2.6540443288819144
56,1.0,0.7506764053156478,0.29198975685177814,0.7543859649122807,0.2972879824567596,B,B,0.11856559275740464,0.8814344072425953,0.6469578720672817,2.6530421279327183
57,1.0,0.7631425850498654,0.29906985928326035,0.7586206896551724,0.2972113012543878,B,B,0.1713173621790892,0.8286826378209108,0.8618402495280251,2.438159750471975
58,1.0,0.7749854557973722,0.30607916069042773,0.7627118644067796,0.29713420252090966,B,B,0.1189764284612647,0.8810235715387353,0.6489205061598988,2.6510794938401014
59,1.0,0.7862361830075036,0.3130183690835235,0.7666666666666667,0.2970600264846328,B,B,0.11250301116177153,0.8874969888382284,0.617287429341604,2.682712570658396
60,-0.5,0.7219243738571284,0.30488818539268825,0.7540983606557377,0.2969849633456776,A,B,0.3364332784637438,0.6635667215362562,1.3103852199020078,1.989614780097992
61,1.0,0.735828155164272,0.3118393035387614,0.7580645161290323,0.29691183534932336,B,B,0.11247047346735585,0.8875295265326442,0.6171244694998324,2.6828755305001675
62,1.0,0.7490367474060584,0.31872091050337376,0.7619047619047619,0.29682957781796504,B,B,0.11266016922534766,0.8873398307746524,0.6180739514292816,2.6819260485707184
63,1.0,0.7615849100357555,0.32553370139834004,0.765625,0.29675082695546606,B,B,0.18189370832629537,0.8181062916737046,0.8982151136014165,2.401784886398584
64,1.0,0.7735056645339677,0.33227836438435665,0.7692307692307693,0.29667717019381334,B,B,0.11303235916477455,0.8869676408352254,0.6199328209737901,2.68006717902621
65,1.0,0.7848303813072693,0.3389555807405131,0.7727272727272727,0.2965988919822932,B,B,0.11321489093572994,0.8867851090642701,0.6208425083242777,2.6791574916757224
66,1.0,0.7955888622419058,0.34556602493310795,0.7761194029850746,0.296517879308874,B,B,0.11339507321562392,0.8866049267843761,0.6217392325212237,2.6782607674787764
67,1.0,0.8058094191298105,0.3521103646837769,0.7794117647058824,0.2964272814201119,B,B,0.11357292610899845,0.8864270738910016,0.6226231461006568,2.677376853899343
68,1.0,0.81551894817332,0.3585892610369391,0.782608695652174,0.29634212544782795,B,B,0.11374847017108504,0.886251529828915,0.6234944023341171,2.6765055976658827
